"month","item","definition","uni_lemma","learned","value","value2"
21,109,"egg","egg",0,1,375
21,111,"food","food",0,21,613
21,123,"meat","meat",0,5,316
21,138,"potato","potato",0,2,155
21,144,"sandwich","sandwich",0,3,284
21,147,"soup","soup",0,8,234
21,150,"toast","toast",0,3,222
21,159,"boots","boots",0,0,216
21,160,"button","button",0,1,332
21,161,"coat","coat",0,5,484
21,166,"jacket","jacket",0,4,180
21,170,"pajamas","pajamas",0,0,114
21,171,"pants","pants",0,3,401
21,173,"shirt","shirt",0,4,523
21,180,"sweater","sweater",0,4,126
21,185,"arm","arm",1,4,268
21,192,"face","face",0,5,683
21,193,"finger","finger",1,3,503
21,194,"foot","foot",0,5,547
21,196,"hand","hand",1,4,1291
21,197,"head","head",1,8,1282
21,198,"knee","knee",0,1,172
21,199,"leg","leg",0,5,276
21,206,"toe","toe",1,3,101
21,207,"tongue","tongue",0,1,208
21,214,"bowl","bowl",0,4,236
21,215,"box","box",0,6,1342
21,216,"broom","broom",0,0,117
21,219,"camera","camera",0,1,107
21,221,"clock","clock",0,0,251
21,225,"fork","fork",0,3,161
21,227,"glass","glass",0,4,292
21,228,"glasses","glasses",0,1,177
21,229,"hammer","hammer",0,0,127
21,231,"keys","keys",0,0,160
21,232,"knife","knife",0,5,140
21,235,"medicine","medicine",0,1,128
21,236,"money","money",0,5,628
21,240,"paper","paper",0,7,1065
21,241,"penny","penny",0,0,129
