"item","definition","uni_lemma","type","IPA"
316,"star","star","word"," stˈɑːɹ"
317,"stick","stick","word"," stˈɪk"
318,"stone","stone","word"," stˈoʊn"
319,"street","street","word"," stɹˈiːt"
320,"sun","sun","word"," sˈʌn"
321,"swing","swing (object)","word"," swˈɪŋ"
322,"tree","tree","word"," tɹˈiː"
323,"water","water (not beverage)","word"," wˈɔːɾɚ"
324,"wind","wind","word"," wˈɪnd"
325,"beach","beach","word"," bˈiːtʃ"
326,"camping","camping","word"," kˈæmpɪŋ"
327,"church","church","word"," tʃˈɜːtʃ"
328,"circus","circus","word"," sˈɜːkəs"
329,"country","country","word"," kˈʌntɹi"
330,"downtown","downtown","word"," dˈaʊnɾaʊn"
331,"farm","farm","word"," fˈɑːɹm"
332,"gas station","gas station","word"," ɡˈæs stˈeɪʃən"
333,"home","home","word"," hˈoʊm"
334,"house","house","word"," hˈaʊs"
335,"movie","movie","word"," mˈuːvi"
336,"outside","outside","word"," aʊtsˈaɪd"
337,"park","park","word"," pˈɑːɹk"
338,"party","party","word"," pˈɑːɹɾi"
339,"picnic","picnic","word"," pˈɪknɪk"
340,"playground","playground","word"," plˈeɪɡɹaʊnd"
341,"school","school","word"," skˈuːl"
342,"store","store","word"," stˈoːɹ"
343,"woods","woods","word"," wˈʊdz"
344,"work","work (place)","word"," wˈɜːk"
345,"yard","yard","word"," jˈɑːɹd"
346,"zoo","zoo","word"," zˈuː"
347,"aunt","aunt","word"," ˈɑːnt"
348,"baby","baby","word"," bˈeɪbi"
349,"babysitter","babysitter","word"," bˈeɪbɪsˌɪɾɚ"
351,"boy","boy","word"," bˈɔɪ"
352,"brother","brother","word"," bɹˈʌðɚ"
353,"child","child","word"," tʃˈaɪld"
354,"clown","clown","word"," klˈaʊn"
355,"cowboy","cowboy","word"," kˈaʊbɔɪ"
356,"daddy","daddy","word"," dˈædi"
357,"doctor","doctor","word"," dˈɑːktɚ"
358,"fireman","firefighter","word"," fˈaɪəɹmən"
359,"friend","friend","word"," fɹˈɛnd"
360,"girl","girl","word"," ɡˈɜːl"
361,"grandma","grandma","word"," ɡɹˈændmɑː"
362,"grandpa","grandpa","word"," ɡɹˈændpɑː"
363,"lady","lady","word"," lˈeɪdi"
364,"mailman","mailman","word"," mˈeɪlmən"
365,"man","man","word"," mˈæn"
366,"mommy","mommy","word"," mˈɑːmi"
367,"nurse","nurse","word"," nˈɜːs"
369,"people","people","word"," pˈiːpəL"
370,"person","person","word"," pˈɜːsən"
372,"police","police","word"," pəlˈiːs"
373,"sister","sister","word"," sˈɪstɚ"
374,"teacher","teacher","word"," tˈiːtʃɚ"
375,"uncle","uncle","word"," ˈʌŋkəL"
376,"bath","bath","word"," bˈæθ"
377,"breakfast","breakfast","word"," bɹˈɛkfəst"
378,"bye","bye","word"," bˈaɪ"
379,"call","call on phone","word"," kˈɔːl"
380,"dinner","dinner","word"," dˈɪnɚ"
381,"give me five!","give me five","word"," ɡˈɪv mˌiː fˈaɪv"
382,"gonna get you!","gonna get you","word"," ɡˈɑːnə ɡˈɛt juː"
383,"go potty","go potty","word"," ɡˌoʊ pˈɑːɾi"
384,"hello","hello","word"," həlˈoʊ"
385,"hi","hi","word"," hˈaɪ"
386,"lunch","lunch","word"," lˈʌntʃ"
387,"nap","nap","word"," nˈæp"
388,"night night","good night","word"," nˈaɪt nˈaɪt"
389,"no","no","word"," nˈoʊ"
390,"pattycake","pattycake","word"," pˈæɾɪkˌeɪk"
391,"peekaboo","peekaboo","word"," pˈiːkɐbˌuː"
